Job Title,Rating,Company Name,Keyword_Counts,Keyword_Score,Salary_Score,Salary_Estimate_Score,categorized_industry
Data Engineer,4.9,Freestar,"{'data': 28, 'machine learning': 0, 'analysis': 1, 'statistics': 0, 'research': 0, 'python': 1}",0.6192307692307691,107500.0,0.48913043478260865,Tech Industry
Data Engineer,4.4,PulsePoint,"{'data': 20, 'machine learning': 0, 'analysis': 0, 'statistics': 0, 'research': 0, 'python': 1}",0.4634615384615385,107500.0,0.48913043478260865,Tech Industry
Data Scientist,3.9,BlackLine,"{'data': 15, 'machine learning': 6, 'analysis': 4, 'statistics': 1, 'research': 2, 'python': 3}",0.6365384615384615,133000.0,0.6,Tech Industry
Data Scientist,3.9,Amazon,"{'data': 13, 'machine learning': 3, 'analysis': 2, 'statistics': 2, 'research': 3, 'python': 1}",0.5153846153846154,133000.0,0.6,Tech Industry
Data Scientist,4.2,Aviana Global Technologies,"{'data': 10, 'machine learning': 0, 'analysis': 0, 'statistics': 1, 'research': 1, 'python': 2}",0.3423076923076923,133000.0,0.6,Tech Industry
Data Scientist,3.2,Ipsos,"{'data': 17, 'machine learning': 1, 'analysis': 2, 'statistics': 0, 'research': 7, 'python': 2}",0.6019230769230769,133000.0,0.6,Consulting Industry
Data Scientist,3.2,ConsumerTrack,"{'data': 12, 'machine learning': 4, 'analysis': 3, 'statistics': 2, 'research': 2, 'python': 2}",0.5326923076923077,146500.0,0.658695652173913,Tech Industry
Data Scientist,-1.0,Evolvinc,"{'data': 13, 'machine learning': 7, 'analysis': 1, 'statistics': 1, 'research': 0, 'python': 1}",0.4980769230769231,146500.0,0.658695652173913,Tech Industry
Data Engineer,4.7,SADA,"{'data': 22, 'machine learning': 1, 'analysis': 1, 'statistics': 0, 'research': 0, 'python': 1}",0.5326923076923077,146500.0,0.658695652173913,Tech Industry
Data Scientist,3.0,Gurucul,"{'data': 10, 'machine learning': 2, 'analysis': 2, 'statistics': 2, 'research': 0, 'python': 1}",0.3942307692307693,146500.0,0.658695652173913,Tech Industry
Data Scientist,3.3,Allscripts,"{'data': 8, 'machine learning': 0, 'analysis': 2, 'statistics': 0, 'research': 3, 'python': 0}",0.325,146500.0,0.658695652173913,Tech Industry
Research Scientist,3.6,SDL,"{'data': 2, 'machine learning': 2, 'analysis': 0, 'statistics': 1, 'research': 7, 'python': 0}",0.3076923076923077,146500.0,0.658695652173913,Tech Industry
Data Engineer,4.5,CrowdRise,"{'data': 26, 'machine learning': 1, 'analysis': 0, 'statistics': 0, 'research': 1, 'python': 1}",0.6019230769230769,146500.0,0.658695652173913,Tech Industry
Machine Learning Engineer,4.7,TEEMA,"{'data': 3, 'machine learning': 1, 'analysis': 0, 'statistics': 2, 'research': 0, 'python': 0}",0.20384615384615384,99000.0,0.4521739130434783,Other Industry
Data Engineer,3.8,Mondo,"{'data': 10, 'machine learning': 0, 'analysis': 0, 'statistics': 0, 'research': 0, 'python': 2}",0.3076923076923077,99000.0,0.4521739130434783,Other Industry
Data Engineer,3.1,The Honest Company,"{'data': 14, 'machine learning': 0, 'analysis': 0, 'statistics': 0, 'research': 1, 'python': 2}",0.3942307692307693,99000.0,0.4521739130434783,Tech Industry
Data Engineer,5.0,Tapcart,"{'data': 14, 'machine learning': 1, 'analysis': 0, 'statistics': 0, 'research': 0, 'python': 0}",0.35961538461538456,176000.0,0.7869565217391303,Tech Industry
Data Engineer,4.7,TEEMA,"{'data': 6, 'machine learning': 0, 'analysis': 1, 'statistics': 0, 'research': 0, 'python': 1}",0.23846153846153847,100500.0,0.45869565217391306,Other Industry
Data Scientist,4.2,CyberCoders,"{'data': 16, 'machine learning': 2, 'analysis': 1, 'statistics': 0, 'research': 0, 'python': 1}",0.44615384615384623,100500.0,0.45869565217391306,Other Industry
Data Engineer,5.0,ingenium.agency,"{'data': 15, 'machine learning': 0, 'analysis': 0, 'statistics': 0, 'research': 4, 'python': 3}",0.4807692307692307,100500.0,0.45869565217391306,Other Industry
Data Engineer,4.4,Direct Agents,"{'data': 10, 'machine learning': 1, 'analysis': 0, 'statistics': 0, 'research': 0, 'python': 1}",0.3076923076923077,170000.0,0.7608695652173914,Tech Industry
Data Engineer,4.0,Prosum,"{'data': 6, 'machine learning': 0, 'analysis': 1, 'statistics': 0, 'research': 0, 'python': 0}",0.22115384615384615,94000.0,0.4304347826086957,Tech Industry
Data Engineer,-1.0,EvolvInc,"{'data': 11, 'machine learning': 2, 'analysis': 1, 'statistics': 1, 'research': 0, 'python': 1}",0.3769230769230769,94000.0,0.4304347826086957,Tech Industry
Data Engineer,4.2,CyberCoders,"{'data': 11, 'machine learning': 0, 'analysis': 0, 'statistics': 0, 'research': 0, 'python': 0}",0.29038461538461535,94000.0,0.4304347826086957,Other Industry
Data Engineer,4.8,Agilisium LLC,"{'data': 2, 'machine learning': 0, 'analysis': 0, 'statistics': 0, 'research': 0, 'python': 1}",0.15192307692307694,94000.0,0.4304347826086957,Tech Industry
Machine Learning Engineer,4.2,CyberCoders,"{'data': 0, 'machine learning': 6, 'analysis': 0, 'statistics': 0, 'research': 0, 'python': 1}",0.22115384615384615,94000.0,0.4304347826086957,Other Industry
Data Engineer,5.0,Sense,"{'data': 7, 'machine learning': 0, 'analysis': 0, 'statistics': 0, 'research': 1, 'python': 1}",0.25576923076923075,109000.0,0.4956521739130435,Tech Industry
Data Engineer,3.9,BlackLine,"{'data': 19, 'machine learning': 3, 'analysis': 0, 'statistics': 0, 'research': 0, 'python': 2}",0.5153846153846154,53000.0,0.25217391304347825,Tech Industry
Data Engineer,2.7,TrueCar,"{'data': 15, 'machine learning': 0, 'analysis': 0, 'statistics': 0, 'research': 0, 'python': 0}",0.35961538461538456,53000.0,0.25217391304347825,Tech Industry
Data Engineer,3.7,NortonLifeLock,"{'data': 17, 'machine learning': 0, 'analysis': 0, 'statistics': 0, 'research': 0, 'python': 2}",0.4288461538461539,56000.0,0.26521739130434785,Tech Industry
Data Scientist,3.8,XSELL Technologies,"{'data': 7, 'machine learning': 6, 'analysis': 1, 'statistics': 1, 'research': 1, 'python': 2}",0.4115384615384615,63000.0,0.2956521739130435,Tech Industry
Data Engineer,4.5,Sagence,"{'data': 25, 'machine learning': 0, 'analysis': 1, 'statistics': 0, 'research': 0, 'python': 0}",0.55,63000.0,0.2956521739130435,Consulting Industry
Data Scientist,2.2,Uptake,"{'data': 19, 'machine learning': 3, 'analysis': 2, 'statistics': 0, 'research': 0, 'python': 1}",0.5326923076923077,63000.0,0.2956521739130435,Tech Industry
Data Scientist,3.4,Waystar,"{'data': 7, 'machine learning': 6, 'analysis': 1, 'statistics': 1, 'research': 0, 'python': 1}",0.3769230769230769,63000.0,0.2956521739130435,Tech Industry
Data Scientist,4.2,Goodway Group,"{'data': 12, 'machine learning': 2, 'analysis': 2, 'statistics': 1, 'research': 0, 'python': 2}",0.4288461538461539,63000.0,0.2956521739130435,Tech Industry
